PAN_Inside:,PAN_Outside:,Ambient_Temp:,Glass_Temp:,Ind_Current:,Mag_Current:,empty_pan
101.93,98.86,36987.54,46,192,0.38,0
41.77,41,155.33,17,1,0.34,1
101.63,98.01,35590.86,38,191,0.36,0
85.12,64.36,8546.51,28,190,0.36,0
51.48,51.09,317.62,20,1,0.34,1
121.7,116.49,1054.58,59,1,0.37,1
45.64,45.05,192.44,18,1,0.34,1
44.55,43.87,159.9,18,1,0.34,1
101.55,98.75,36392.25,43,192,0.38,0
101.93,98.98,36553.96,45,191,0.39,0
40.4,39.46,136.15,17,1,0.35,1
65.26,64.12,563.03,24,1,0.35,1
65.33,64.18,535.73,24,1,0.35,1
52.13,51.76,-25.85,20,1,0.35,1
160.09,131.84,1648.25,144,1,0.36,1
101.93,99.25,37424.55,49,194,0.41,0
203.23,157.26,37699.44,154,1,0.38,0
45.75,45.13,196.53,18,1,0.34,1
126.42,119.82,1113.85,66,1,0.37,1
42.23,41.63,140.23,17,1,0.35,1
102.18,99.32,36446.1,49,194,0.38,0
101.03,96.44,34075.19,34,191,0.38,0
101.07,95.64,33308.46,33,191,0.38,0
57.02,48.35,428.53,24,190,0.36,0
226.44,172.96,36607.97,136,1,0.37,0
27.48,24.51,66,20,189,0.36,0
143.41,128.51,1380.29,92,1,0.37,1
38.81,37.9,120.89,17,1,0.34,1
100.46,96.79,847.92,36,1,0.35,1
264.25,185,36716.15,160,1,0.36,0
91.77,73.45,266.77,108,87,0.35,1
101.78,99.93,37589.32,56,194,0.38,0
100.8,95.09,32304.24,32,191,0.35,0
167.12,143.17,28080.87,103,1,0.37,0
43.54,42.81,140.23,18,1,0.34,1
102,99.82,37534.35,54,195,0.39,0
51.66,51.21,299.9,20,1,0.34,1
102.04,99.4,38142.05,53,195,0.38,0
101.67,99.48,37920.31,49,194,0.39,0
101.78,97.46,36123.79,37,191,0.39,0
40.4,39.57,142.3,17,1,0.35,1
102.04,99.63,37096.48,51,195,0.39,0
80.49,66.07,270.31,101,87,0.38,1
93.11,89.88,-43.41,33,1,0.34,1
101.89,99.82,37424.55,54,196,0.37,0
205.96,158.66,36770.32,155,1,0.36,0
101.78,98.71,37424.55,49,194,0.39,0
42.9,42.14,157.6,17,1,0.34,1
39.73,38.81,132.19,17,1,0.35,1
59.8,59.16,454.34,23,1,0.35,1
116.68,112.18,819.22,51,1,0.37,1
100.09,94.48,32904.3,31,191,0.35,0
37.84,36.58,111.32,17,1,0.35,1
24.8,24.12,66,19,189,0.34,0
37.84,36.52,112.16,17,1,0.35,1
101.93,99.63,37534.35,53,193,0.39,0
131.42,115.41,903.1,138,87,0.37,1
44.94,44.4,176.79,18,1,0.35,1
102.63,98.71,843.77,38,1,0.35,1
94.93,84.34,20518.38,29,190,0.36,0
67.06,54.35,1488.44,26,190,0.34,0
101.96,98.24,36607.97,42,192,0.37,0
39.25,38.25,77.96,17,1,0.34,1
102.04,99.55,37644.36,52,195,0.37,0
166.43,136.13,1602.36,124,1,0.35,1
127.93,122.77,37205.62,79,190,0.39,0
49.34,48.89,254.7,19,1,0.34,1
52.04,51.52,296.07,20,1,0.34,1
44.16,43.29,175.54,18,1,0.34,1
45.96,45.42,195.16,18,1,0.34,1
72.05,70.54,428.53,26,1,0.35,1
51.81,49.17,115.58,62,87,0.38,1
110.5,92.5,451.71,121,87,0.36,1
101.93,99.82,38364.66,54,196,0.37,0
98.16,90.7,27765.35,30,191,0.35,0
37.9,36.58,112.16,17,1,0.35,1
53.65,53.26,366.55,20,1,0.34,1
